,linear_compensation,sampling,tap,max_tap,batch_size,neuron,epochs,learning_rate,activation,N,itr,seed,bit_num,target_dir,step,image_number,ebtb,form,n,equalize,baudrate,PdBm,Ledfa,stepedfa,gamma,D,Alpha,NF,Lmax,ase,params_path,train_samples
0,TRUE,1,1,501,100,300,50,0.001,CReLU,,,1234,100000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000000.pth,24500
1,TRUE,1,1,501,100,300,100,0.001,CReLU,,,1234,100000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000001.pth,24500
2,TRUE,1,1,501,100,300,150,0.001,CReLU,,,1234,100000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000002.pth,24500
3,TRUE,1,1,501,100,300,200,0.001,CReLU,,,1234,100000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000003.pth,24500
4,TRUE,1,1,501,100,300,250,0.001,CReLU,,,1234,100000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000004.pth,24500
5,TRUE,1,1,501,100,300,300,0.001,CReLU,,,1234,100000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000005.pth,24500
6,TRUE,1,1,501,100,300,350,0.001,CReLU,,,1234,100000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000006.pth,24500
7,TRUE,1,1,501,100,300,400,0.001,CReLU,,,1234,100000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000007.pth,24500
8,TRUE,1,1,501,100,300,450,0.001,CReLU,,,1234,100000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000008.pth,24500
9,TRUE,1,1,501,100,300,500,0.001,CReLU,,,1234,100000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000009.pth,24500
10,TRUE,1,51,501,100,300,50,0.001,CReLU,,,1234,100000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000010.pth,24500
11,TRUE,1,51,501,100,300,100,0.001,CReLU,,,1234,100000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000011.pth,24500
12,TRUE,1,51,501,100,300,150,0.001,CReLU,,,1234,100000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000012.pth,24500
13,TRUE,1,51,501,100,300,200,0.001,CReLU,,,1234,100000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000013.pth,24500
14,TRUE,1,51,501,100,300,250,0.001,CReLU,,,1234,100000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000014.pth,24500
15,TRUE,1,51,501,100,300,300,0.001,CReLU,,,1234,100000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000015.pth,24500
16,TRUE,1,51,501,100,300,350,0.001,CReLU,,,1234,100000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000016.pth,24500
17,TRUE,1,51,501,100,300,400,0.001,CReLU,,,1234,100000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000017.pth,24500
18,TRUE,1,51,501,100,300,450,0.001,CReLU,,,1234,100000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000018.pth,24500
19,TRUE,1,51,501,100,300,500,0.001,CReLU,,,1234,100000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000019.pth,24500
20,TRUE,1,101,501,100,300,50,0.001,CReLU,,,1234,100000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000020.pth,24500
21,TRUE,1,101,501,100,300,100,0.001,CReLU,,,1234,100000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000021.pth,24500
22,TRUE,1,101,501,100,300,150,0.001,CReLU,,,1234,100000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000022.pth,24500
23,TRUE,1,101,501,100,300,200,0.001,CReLU,,,1234,100000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000023.pth,24500
24,TRUE,1,101,501,100,300,250,0.001,CReLU,,,1234,100000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000024.pth,24500
25,TRUE,1,101,501,100,300,300,0.001,CReLU,,,1234,100000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000025.pth,24500
26,TRUE,1,101,501,100,300,350,0.001,CReLU,,,1234,100000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000026.pth,24500
27,TRUE,1,101,501,100,300,400,0.001,CReLU,,,1234,100000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000027.pth,24500
28,TRUE,1,101,501,100,300,450,0.001,CReLU,,,1234,100000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000028.pth,24500
29,TRUE,1,101,501,100,300,500,0.001,CReLU,,,1234,100000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000029.pth,24500
30,TRUE,1,151,501,100,300,50,0.001,CReLU,,,1234,100000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000030.pth,24500
31,TRUE,1,151,501,100,300,100,0.001,CReLU,,,1234,100000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000031.pth,24500
32,TRUE,1,151,501,100,300,150,0.001,CReLU,,,1234,100000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000032.pth,24500
33,TRUE,1,151,501,100,300,200,0.001,CReLU,,,1234,100000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000033.pth,24500
34,TRUE,1,151,501,100,300,250,0.001,CReLU,,,1234,100000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000034.pth,24500
35,TRUE,1,151,501,100,300,300,0.001,CReLU,,,1234,100000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000035.pth,24500
36,TRUE,1,151,501,100,300,350,0.001,CReLU,,,1234,100000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000036.pth,24500
37,TRUE,1,151,501,100,300,400,0.001,CReLU,,,1234,100000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000037.pth,24500
38,TRUE,1,151,501,100,300,450,0.001,CReLU,,,1234,100000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000038.pth,24500
39,TRUE,1,151,501,100,300,500,0.001,CReLU,,,1234,100000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000039.pth,24500
